category,car_name,image_url,2025-09-23
Premium,Nissan Skyline GT-R (R34) Fast & Furious Rep. Entertainment 1:64 DWJ88 Blue,https://retromagaz.com/uploads/products/d1/d9/site_fmmgvp36s_6290bd0c.webp,1599.0
Premium,Porsche 356 Speedster Forza Rep. Entertainment 1:64 DWJ96 Blue,https://retromagaz.com/uploads/products/a1/63/site_fmmhfmgar_ae9a98a1.webp,1099.0
Premium,Delorean Back to the Future Time Machine Rep. Entertainment 1:64 DJF49 Silver,https://retromagaz.com/uploads/products/66/e7/site_fmmhj7frl_00708851.webp,1399.0
Premium,Back to the Future Delorean Time Machine 2 Rep. Entertainment 1:64 FXY49 Silver,https://retromagaz.com/uploads/products/9a/f9/site_fmckmgt2r_8e2e48ea.webp,1399.0
Treasure Hunts,Ford Transit Connect Treasure Hunts Vans 1:64 HTF26 White,https://retromagaz.com/uploads/products/93/22/site_fm3qok8hp_fdfb2ed6.webp,439.0
Premium,1992 GMC Typhoon Red Line Club RLC 1:64 HWF06 Black,https://retromagaz.com/uploads/products/79/61/site_fm5i668be_65132c52.webp,2299.0
Premium,1964 Jaguar E-Type Red Line Club RLC 1:64 HGK82 Green,https://retromagaz.com/uploads/products/0a/16/site_fm5huprse_d2763cd3.webp,1899.0
Premium,Dodge Tradesman Red Line Club RLC 1:64 HGK78 Purple,https://retromagaz.com/uploads/products/19/02/site_fm5hob8hl_6a6c0b6a.webp,3699.0
Premium,“Kawa-Bug-A” ‘49 VW Beetle Red Line Club RLC 1:64 HGK76 Blue,https://retromagaz.com/uploads/products/f4/95/site_fm5hi64a7_372a1b3e.webp,3799.0
Premium,'82 Lamborghini Countach LP500 S Red Line Club RLC 1:64 HGW20 Green,https://retromagaz.com/uploads/products/a8/cc/site_fm5hcosr1_782ab0d2.webp,2399.0
Premium,'32 Ford Red Line Club RLC 1:64 HGW19 Red,https://retromagaz.com/uploads/products/fe/b5/site_fm5h8gr95_6b3f2b8a.webp,2099.0
Premium,Nissan Skyline GT-R (BNR34) Red Line Club RLC 1:64 HGK73 Silver,https://retromagaz.com/uploads/products/1e/2a/site_fm5h423r9_1d9f16e2.webp,5999.0
Premium,Honda S2000 Red Line Club RLC 1:64 HGW15 Gold,https://retromagaz.com/uploads/products/39/f1/site_fm5h065qi_51fe4216.webp,2999.0
Premium,'64 Impala Red Line Club RLC 1:64 GLH86 Pink,https://retromagaz.com/uploads/products/76/e1/site_fm5fodm9c_54e71aef.webp,5599.0
Premium,'64 Impala Snowman Red Line Club RLC 1:64 GXJ23 Blue,https://retromagaz.com/uploads/products/f9/e1/site_fm5fgp6h0_8655c30f.webp,4499.0
Premium,2006 BMW M3 Red Line Club RLC 1:64 GXJ28 Blue,https://retromagaz.com/uploads/products/b6/12/site_fm5f9hjfi_cb40d2c2.webp,2999.0
Premium,2006 BMW M3 Red Line Club RLC 1:64 GLH84 Yellow,https://retromagaz.com/uploads/products/ef/46/site_fm4k437me_004d1d18.webp,2999.0
Premium,1991 BMW M3 Red Line Club RLC 1:64 GXJ17 Blue,https://retromagaz.com/uploads/products/4c/17/site_fm4jt7pvh_4bc34d4a.webp,3499.0
Premium,1972 Skyline H/T 2000GT-R Red Line Club RLC 1:64 GXJ15 Silver,https://retromagaz.com/uploads/products/44/d7/site_fm4jjb359_382ecbee.webp,2499.0
Matchbox,Велике Місто Matchbox 1994 Lexus LS 400 Highway 1:64 Black,https://retromagaz.com/uploads/products/80/4f/site_fmbrhff5p_e1c2a5ac.webp,279.0
MainLine,The Simpsons Family Car Screen Time 1:64 DTX37 Pink,https://retromagaz.com/uploads/products/63/4e/site_fmmg10re4_3825c1c2.webp,1399.0
Diorama,4шт 2016 BMW M2 / 2001 M5 (E39) / M3 (E46) / Fleet Flyer Diorama 1:64 HCR52 White,https://retromagaz.com/uploads/products/fe/a2/site_fm9gdl643_c091ad4a.webp,2299.0
Super Treasure Hunt,Shelby Cobra 427 S/C Super Treasure Hunt STH Muscle Mania 1:64 GTD13 Red,https://retromagaz.com/uploads/products/ba/d4/site_fmnsiqp6h_8cf6c0a5.webp,2499.0
Super Treasure Hunt,'64 Nova Wagon Gasser Super Treasure Hunt STH Race Team 1:64 GTD06 Blue,https://retromagaz.com/uploads/products/6f/d9/site_fmnsvkpif_f09f2738.webp,1699.0
Super Treasure Hunt,'68 Mercury Cougar Super Treasure Hunt STH Flames 1:64 GTD02 Green,https://retromagaz.com/uploads/products/09/33/site_fmntfojk0_946813f1.webp,1799.0
Super Treasure Hunt,Honda Civic Type R HKS Super Treasure Hunt STH J-Imports 1:64 GTD05 Black,https://retromagaz.com/uploads/products/4c/4b/site_fpha8hnps_42b1d411.webp,3099.0
Super Treasure Hunt,Porsche 356 Outlaw Gulf Super Treasure Hunt STH Speed Graphics 1:64 GTD08 Blue,https://retromagaz.com/uploads/products/62/ae/site_fphb2r9et_06f06bfe.webp,4899.0
Super Treasure Hunt,Corvette Grand Sport Roadster Super Treasure Hunt STH Race Day 1:64 GTC99 Teal,https://retromagaz.com/uploads/products/ec/86/site_fmo1jdjpk_29df15dd.webp,1599.0
Super Treasure Hunt,Nissan 300ZX Twin Turbo Super Treasure Hunt STH Turbo 1:64 GTD10 Blue,https://retromagaz.com/uploads/products/5b/b3/site_fmnvi0tss_f1b60260.webp,2799.0
Super Treasure Hunt,Dodge Van Super Treasure Hunt STH Metro 1:64 HCY16 Purple,https://retromagaz.com/uploads/products/6a/bc/site_fmrukbhnh_9e8bec51.webp,1499.0
Super Treasure Hunt,'63 Studebaker Champ Super Treasure Hunt STH Hot Trucks 1:64 HCY14 Black,https://retromagaz.com/uploads/products/3b/25/site_fmrubo04d_04bd78f9.webp,1599.0
Super Treasure Hunt,Mercedes-Benz 300 SL Super Treasure Hunt STH Retro Racers 1:64 HKL09 Red,https://retromagaz.com/uploads/products/17/88/site_fmrsbfv7j_1628584e.webp,1899.0
Super Treasure Hunt,Renault Sport R.S. 01 Super Treasure Hunt STH Turbo 1:64 HKL21 Red,https://retromagaz.com/uploads/products/c7/ba/site_fmrtoecbh_57af5a4e.webp,1549.0
Premium,McLaren F1 Red Line Club RLC 1:64 HGK75 Orange,https://retromagaz.com/uploads/products/1b/9e/site_fm9fqsj32_7332d73e.webp,2299.0
Premium,'70 Ford Mustang Boss 302 Red Line Club RLC 1:64 HWF17 Yellow,https://retromagaz.com/uploads/products/42/63/site_fm9flv4ff_e502f7b2.webp,1599.0
MainLine,Porsche 993 GT2 Neon Speeders 1:64 JBY99 Black,https://retromagaz.com/uploads/products/fa/3e/site_fq28p36ab_31e36ee0.webp,319.0
Matchbox,Велике Місто Matchbox 1963 Mercedes-Benz 230 SL Showroom 1:64 JBR79/JBP22 Gold,https://retromagaz.com/uploads/products/bb/0a/site_fotvrgt6d_6d585885.webp,199.0
Matchbox,Велике Місто Matchbox Audi R8 Super Chase Showroom 1:64 Orange,https://retromagaz.com/uploads/products/e9/d2/site_fplb3hojc_26d48039.webp,799.0
MainLine,Knight Rider K.I.T.T. Screen Time 1:64 HYX27 Black,https://retromagaz.com/uploads/products/32/35/site_fpld7cgnu_53345777.webp,199.0
MainLine,Tesla Model S Plaid EV 1:64 HYX58 White,https://retromagaz.com/uploads/products/7c/c4/site_frcu0vule_7c0cf845.webp,299.0
MainLine,Williams Racing Formula 1 Track Aces 1:64 JBC07 Blue,https://retromagaz.com/uploads/products/6a/06/site_fpldp9i3g_12906a69.webp,499.0
Treasure Hunts,'85 Honda City Turbo II Treasure Hunts J-Imports 1:64 JBC25 Green,https://retromagaz.com/uploads/products/5d/c2/site_ftp9q2nju_7d7c846f.webp,399.0
